Numero d expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripcio dia setmana,Dia setmana,Descripcio tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripcio torn,Descripcio causa vianant,Numero de morts,Numero de lesionats lleus,Numero de lesionats greus,Numero de vehicles implicats,CoordenadaUTMY,CoordenadaUTMX,Long,Lat
2015S009729,2,Eixample,7,la Dreta de l Eixample,350308,Valencia,0307 0313,Dilluns,Dl,Laboral,2015,12,Desembre,21,22,Nit,No es causa del  vianant,0,1,0,2,4583288.55,430533.68,2.167899346,41.396286865
2015S006906,2,Eixample,7,la Dreta de l Eixample,350308,Valencia,0315 0315,Dilluns,Dl,Laboral,2015,9,Setembre,14,16,Tarda,No es causa del  vianant,0,1,0,2,4583304.72,430550.22,2.168095327,41.396433932
2015S006419,2,Eixample,8,l Antiga Esquerra de l Eixample,90502,Corsega,0188 0188,Dimarts,Dm,Laboral,2015,8,Agost,25,20,Tarda,No es causa del  vianant,0,2,0,2,4582632.90,429131.51,2.151204696,41.390259241
2015S006511,2,Eixample,8,l Antiga Esquerra de l Eixample,90502,Corsega,0190 0190,Dissabte,Ds,Laboral,2015,8,Agost,29,20,Tarda,No es causa del  vianant,0,2,0,4,4582632.90,429131.51,2.151204696,41.390259241
2015S005873,2,Eixample,8,l Antiga Esquerra de l Eixample,349706,Comte d Urgell,0260 0260,Dijous,Dj,Laboral,2015,7,Juliol,30,16,Tarda,No es causa del  vianant,0,1,0,2,4582682.22,428822.47,2.147502805,41.390676145
2015S003883,2,Eixample,8,l Antiga Esquerra de l Eixample,363809,Villarroel,0235 0235,Dimecres,Dc,Laboral,2015,5,Maig,20,12,Mati,No es causa del  vianant,0,1,0,2,4582735.44,428921.81,2.148684662,41.391164268
2015S007279,2,Eixample,7,la Dreta de l Eixample,90502,Corsega,0368 0368,Dimarts,Dm,Laboral,2015,9,Setembre,29,7,Mati,No es causa del  vianant,0,1,0,2,4583559.82,430074.46,2.162375240,41.398690280
2015S001589,2,Eixample,8,l Antiga Esquerra de l Eixample,363809,Villarroel,0173B0173B,Diumenge,Dg,Laboral,2015,3,Març,1,15,Tarda,No es causa del  vianant,0,1,0,2,4582426.17,429224.41,2.152339941,41.388405480
2015S005918,2,Eixample,8,l Antiga Esquerra de l Eixample,363809,Villarroel,0173B0173B,Dissabte,Ds,Laboral,2015,8,Agost,1,6,Mati,No es causa del  vianant,0,1,0,2,4582426.17,429224.41,2.152339941,41.388405480
2015S008457,2,Eixample,8,l Antiga Esquerra de l Eixample,-1,Desconegut,Desconegut,Dilluns,Dl,Laboral,2015,11,Novembre,9,20,Tarda,No es causa del  vianant,0,1,0,1,-1,-1,-1,-1
2015S008807,2,Eixample,8,l Antiga Esquerra de l Eixample,70607,Casanova,0107 0107,Dissabte,Ds,Laboral,2015,11,Novembre,21,18,Tarda,No es causa del  vianant,0,4,0,2,4582326.97,429508.89,2.155753756,41.387537013
2015S003826,2,Eixample,8,l Antiga Esquerra de l Eixample,320704,Sarria,0022 0022,Dilluns,Dl,Laboral,2015,5,Maig,18,16,Tarda,No es causa del  vianant,0,1,0,2,4582671.86,428532.71,2.144038504,41.390557128
2015S000880,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0404 0406,Dimecres,Dc,Laboral,2015,2,Febrer,4,19,Tarda,Creuar per fora pas de vianants,0,2,0,1,4583509.58,430335.01,2.165497595,41.398260413
2015S003405,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0418 0418,Dimarts,Dm,Laboral,2015,5,Maig,5,13,Mati,No es causa del  vianant,0,1,0,2,4583471.60,430213.09,2.164043637,41.397907762
2015S008765,2,Eixample,8,l Antiga Esquerra de l Eixample,191204,Mallorca,0144 0144,Dijous,Dj,Laboral,2015,11,Novembre,19,13,Mati,No es causa del  vianant,0,1,0,2,4582328.18,429394.60,2.154386771,41.387537882
2015S002786,2,Eixample,8,l Antiga Esquerra de l Eixample,349706,Comte d Urgell,0228 0228,Dimecres,Dc,Laboral,2015,4,Abril,15,9,Mati,No es causa del  vianant,0,1,0,1,4582542.60,428959.51,2.149158186,41.389430759
2015S009098,2,Eixample,8,l Antiga Esquerra de l Eixample,70607,Casanova,0151 0151,Dilluns,Dl,Laboral,2015,11,Novembre,30,18,Tarda,Desobeir el senyal del semafor,0,1,0,1,4582701.44,429143.24,2.151336963,41.390877591
2015S006952,2,Eixample,8,l Antiga Esquerra de l Eixample,349706,Comte d Urgell,0263 0263,Dimecres,Dc,Laboral,2015,9,Setembre,16,9,Mati,No es causa del  vianant,0,1,0,2,4582850.08,428613.81,2.144987440,41.392169496
2015S006522,2,Eixample,7,la Dreta de l Eixample,-1,Desconegut,Desconegut,Diumenge,Dg,Laboral,2015,8,Agost,30,18,Tarda,No es causa del  vianant,0,1,0,2,-1,-1,-1,-1
2015S006199,2,Eixample,7,la Dreta de l Eixample,18505,Arago,0361 0361,Dijous,Dj,Laboral,2015,8,Agost,13,20,Tarda,No es causa del  vianant,0,1,0,2,4583478.86,430912.52,2.172408959,41.398033583
2015S009580,2,Eixample,7,la Dreta de l Eixample,18505,Arago,0363 0363,Dimecres,Dc,Laboral,2015,12,Desembre,16,15,Tarda,No es causa del  vianant,0,1,0,3,4583486.05,430919.83,2.172495576,41.398098969
2015S007208,2,Eixample,8,l Antiga Esquerra de l Eixample,223606,Muntaner,0171 0171,Divendres,Dv,Laboral,2015,9,Setembre,25,16,Tarda,No es causa del  vianant,0,1,0,2,4582793.12,429240.06,2.152484218,41.391711849
2015S003424,2,Eixample,7,la Dreta de l Eixample,18505,Arago,0379 0379,Dimecres,Dc,Laboral,2015,5,Maig,6,8,Mati,No es causa del  vianant,0,1,0,1,4583555.68,430990.97,2.173338571,41.398732217
2015S003912,2,Eixample,7,la Dreta de l Eixample,18505,Arago,0385 0385,Dijous,Dj,Laboral,2015,5,Maig,21,9,Mati,No es causa del  vianant,0,1,0,2,4583579.80,431015.61,2.173630554,41.398951574
2015S008404,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0313 0315,Dissabte,Ds,Laboral,2015,11,Novembre,7,13,Mati,No es causa del  vianant,0,0,0,1,4583621.87,430848.87,2.171631272,41.399316154
2015S002209,2,Eixample,8,l Antiga Esquerra de l Eixample,350308,Valencia,0115 0115,Dilluns,Dl,Laboral,2015,3,Març,23,18,Tarda,No es causa del  vianant,0,1,0,2,4582184.37,429407.24,2.154554705,41.386243744
2015S008141,2,Eixample,7,la Dreta de l Eixample,305100,Sant Joan,0088 0088,Dijous,Dj,Laboral,2015,10,Octubre,29,19,Tarda,No es causa del  vianant,0,1,0,2,4583490.72,430851.86,2.171682024,41.398135185
2015S008630,2,Eixample,7,la Dreta de l Eixample,305100,Sant Joan,0088 0088,Dilluns,Dl,Laboral,2015,11,Novembre,16,10,Mati,No es causa del  vianant,0,1,0,2,4583490.72,430851.86,2.171682024,41.398135185
2015S002309,2,Eixample,8,l Antiga Esquerra de l Eixample,70607,Casanova,0248 0248,Dijous,Dj,Laboral,2015,3,Març,26,15,Tarda,No es causa del  vianant,0,1,0,2,4582970.24,428910.67,2.148523851,41.393278043
2015S001750,2,Eixample,8,l Antiga Esquerra de l Eixample,144601,Diagonal,0449 0453,Divendres,Dv,Laboral,2015,3,Març,6,17,Tarda,No es causa del  vianant,0,1,0,2,4583005.73,428944.53,2.148924666,41.393600682
2015S001091,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0352 0352,Dijous,Dj,Laboral,2015,2,Febrer,12,12,Mati,No es causa del  vianant,0,1,0,2,4583697.74,430916.26,2.172428705,41.400005287
2015S004632,2,Eixample,7,la Dreta de l Eixample,191204,Mallorca,0337 0337,Dimarts,Dm,Laboral,2015,6,Juny,16,11,Mati,No es causa del  vianant,0,0,0,3,4583674.65,430735.77,2.170272369,41.399781787
2015S008188,2,Eixample,7,la Dreta de l Eixample,305100,Sant Joan,0098 0100,Dissabte,Ds,Laboral,2015,10,Octubre,31,4,Nit,No es causa del  vianant,0,1,0,2,4583575.30,430769.31,2.170684932,41.398889863
2015S004109,2,Eixample,7,la Dreta de l Eixample,89004,Consell de Cent,0386 0386,Dimecres,Dc,Laboral,2015,5,Maig,27,19,Tarda,No es causa del  vianant,0,1,0,2,4583200.54,430858.10,2.171789818,41.395522161
2015S002018,2,Eixample,7,la Dreta de l Eixample,100800,Diputacio,0323 0323,Dimarts,Dm,Laboral,2015,3,Març,17,9,Mati,No es causa del  vianant,0,1,0,2,4582995.66,430808.39,2.171218661,41.393672592
2015S002103,2,Eixample,7,la Dreta de l Eixample,335100,Tetuan,0003 0003,Dijous,Dj,Laboral,2015,3,Març,19,22,Nit,No es causa del  vianant,0,1,0,3,4583042.63,431214.23,2.176067421,41.394130471
2015S000260,2,Eixample,7,la Dreta de l Eixample,335100,Tetuan,0003 0003,Dimarts,Dm,Laboral,2015,1,Gener,13,11,Mati,No es causa del  vianant,0,1,0,3,4583042.63,431214.23,2.176067421,41.394130471
2015S002700,2,Eixample,7,la Dreta de l Eixample,335100,Tetuan,0003 0003,Dissabte,Ds,Laboral,2015,4,Abril,11,20,Tarda,No es causa del  vianant,0,1,0,1,4583042.63,431214.23,2.176067421,41.394130471
2015S007725,2,Eixample,7,la Dreta de l Eixample,89004,Consell de Cent,0320 0320,Dimecres,Dc,Laboral,2015,10,Octubre,14,20,Tarda,No es causa del  vianant,0,1,0,2,4582810.31,430458.70,2.167057453,41.391973025
2015S002664,2,Eixample,7,la Dreta de l Eixample,89004,Consell de Cent,0365 0365,Divendres,Dv,Laboral,2015,4,Abril,10,14,Tarda,No es causa del  vianant,0,3,0,2,4582906.72,430526.13,2.167852870,41.392847190
2015S005361,2,Eixample,7,la Dreta de l Eixample,335100,Tetuan,0008 0008,Dissabte,Ds,Laboral,2015,7,Juliol,11,11,Mati,No es causa del  vianant,0,1,0,1,4583053.71,431151.66,2.175317780,41.394224908
2015S005083,2,Eixample,7,la Dreta de l Eixample,100800,Diputacio,0260 0260,Dijous,Dj,Laboral,2015,7,Juliol,2,14,Tarda,No es causa del  vianant,0,1,0,3,4582681.00,430517.75,2.167778551,41.390813477
2015S003044,2,Eixample,7,la Dreta de l Eixample,100800,Diputacio,0301 0301,Dimecres,Dc,Laboral,2015,4,Abril,22,17,Tarda,No es causa del  vianant,0,1,0,2,4582848.93,430658.24,2.169439585,41.392338101
2015S009313,2,Eixample,7,la Dreta de l Eixample,148307,Gracia,0046 0046,Dimarts,Dm,Laboral,2015,12,Desembre,8,18,Tarda,No es causa del  vianant,0,1,0,2,4582795.90,430355.65,2.165826604,41.391834317
